StopOrGo,Amount,Shape,Color,StopOrGoAndAmountLoop.thisRepN,StopOrGoAndAmountLoop.thisTrialN,StopOrGoAndAmountLoop.thisN,StopOrGoAndAmountLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,expName,gender (m/f),age,frameRate,session,date,participant,
Go,2,line,yellow,0,0,0,5,0,2,2,2,5,2,42,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,green,0,0,0,5,0,2,2,2,5,3,43,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,white,0,0,0,5,0,2,2,2,5,4,44,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,gray,0,0,0,5,0,2,2,2,5,5,45,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,cyan,0,0,0,5,0,2,2,2,5,6,46,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,blue,0,0,0,5,0,2,2,2,5,7,47,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,green,0,0,0,5,0,2,2,2,6,0,48,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,gray,0,0,0,5,0,2,2,2,6,1,49,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,orange,0,0,0,5,0,2,2,2,6,2,50,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,blue,0,0,0,5,0,2,2,2,6,3,51,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,cyan,0,0,0,5,0,2,2,2,6,4,52,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
